"ID","start","stop","arrested","fin","age","race","wexp","mar","paro","prio","employed"
1,0,1,0,0,27,1,0,0,1,3,0
1,1,2,0,0,27,1,0,0,1,3,0
1,2,3,0,0,27,1,0,0,1,3,0
1,3,4,0,0,27,1,0,0,1,3,0
1,4,5,0,0,27,1,0,0,1,3,0
1,5,6,0,0,27,1,0,0,1,3,0
1,6,7,0,0,27,1,0,0,1,3,0
1,7,8,0,0,27,1,0,0,1,3,0
1,8,9,0,0,27,1,0,0,1,3,0
1,9,10,0,0,27,1,0,0,1,3,0
1,10,11,0,0,27,1,0,0,1,3,0
1,11,12,0,0,27,1,0,0,1,3,0
1,12,13,0,0,27,1,0,0,1,3,0
1,13,14,0,0,27,1,0,0,1,3,0
1,14,15,0,0,27,1,0,0,1,3,0
1,15,16,0,0,27,1,0,0,1,3,0
1,16,17,0,0,27,1,0,0,1,3,0
1,17,18,0,0,27,1,0,0,1,3,0
1,18,19,0,0,27,1,0,0,1,3,0
1,19,20,1,0,27,1,0,0,1,3,0
2,0,1,0,0,18,1,0,0,1,8,0
2,1,2,0,0,18,1,0,0,1,8,0
2,2,3,0,0,18,1,0,0,1,8,0
2,3,4,0,0,18,1,0,0,1,8,0
2,4,5,0,0,18,1,0,0,1,8,0
2,5,6,0,0,18,1,0,0,1,8,0
2,6,7,0,0,18,1,0,0,1,8,0
2,7,8,0,0,18,1,0,0,1,8,0
2,8,9,0,0,18,1,0,0,1,8,0
2,9,10,0,0,18,1,0,0,1,8,1
2,10,11,0,0,18,1,0,0,1,8,1
2,11,12,0,0,18,1,0,0,1,8,1
2,12,13,0,0,18,1,0,0,1,8,1
2,13,14,0,0,18,1,0,0,1,8,1
2,14,15,0,0,18,1,0,0,1,8,0
2,15,16,0,0,18,1,0,0,1,8,0
2,16,17,1,0,18,1,0,0,1,8,0
3,0,1,0,0,19,0,1,0,1,13,0
3,1,2,0,0,19,0,1,0,1,13,0
3,2,3,0,0,19,0,1,0,1,13,0
3,3,4,0,0,19,0,1,0,1,13,0
3,4,5,0,0,19,0,1,0,1,13,0
3,5,6,0,0,19,0,1,0,1,13,0
3,6,7,0,0,19,0,1,0,1,13,0
3,7,8,0,0,19,0,1,0,1,13,0
3,8,9,0,0,19,0,1,0,1,13,0
3,9,10,0,0,19,0,1,0,1,13,0
3,10,11,0,0,19,0,1,0,1,13,0
3,11,12,0,0,19,0,1,0,1,13,0
3,12,13,0,0,19,0,1,0,1,13,0
3,13,14,0,0,19,0,1,0,1,13,0
3,14,15,0,0,19,0,1,0,1,13,0
3,15,16,0,0,19,0,1,0,1,13,0
3,16,17,0,0,19,0,1,0,1,13,1
3,17,18,0,0,19,0,1,0,1,13,0
3,18,19,0,0,19,0,1,0,1,13,0
3,19,20,0,0,19,0,1,0,1,13,0
3,20,21,0,0,19,0,1,0,1,13,0
3,21,22,0,0,19,0,1,0,1,13,0
3,22,23,0,0,19,0,1,0,1,13,0
3,23,24,0,0,19,0,1,0,1,13,0
3,24,25,1,0,19,0,1,0,1,13,0
4,0,1,0,1,23,1,1,1,1,1,0
4,1,2,0,1,23,1,1,1,1,1,0
4,2,3,0,1,23,1,1,1,1,1,0
4,3,4,0,1,23,1,1,1,1,1,0
4,4,5,0,1,23,1,1,1,1,1,1
4,5,6,0,1,23,1,1,1,1,1,1
4,6,7,0,1,23,1,1,1,1,1,1
4,7,8,0,1,23,1,1,1,1,1,1
4,8,9,0,1,23,1,1,1,1,1,1
4,9,10,0,1,23,1,1,1,1,1,1
4,10,11,0,1,23,1,1,1,1,1,1
4,11,12,0,1,23,1,1,1,1,1,1
4,12,13,0,1,23,1,1,1,1,1,1
4,13,14,0,1,23,1,1,1,1,1,1
4,14,15,0,1,23,1,1,1,1,1,1
4,15,16,0,1,23,1,1,1,1,1,1
4,16,17,0,1,23,1,1,1,1,1,1
4,17,18,0,1,23,1,1,1,1,1,1
4,18,19,0,1,23,1,1,1,1,1,1
4,19,20,0,1,23,1,1,1,1,1,1
4,20,21,0,1,23,1,1,1,1,1,1
4,21,22,0,1,23,1,1,1,1,1,0
4,22,23,0,1,23,1,1,1,1,1,0
4,23,24,0,1,23,1,1,1,1,1,0
4,24,25,0,1,23,1,1,1,1,1,0
4,25,26,0,1,23,1,1,1,1,1,0
4,26,27,0,1,23,1,1,1,1,1,0
4,27,28,0,1,23,1,1,1,1,1,0
4,28,29,0,1,23,1,1,1,1,1,0
